model,prompt_id,image_1,image_2,variant_1,variant_2,lpips_score
jimeng,p04,p04_B.png,p04_C.png,B,C,0.47629082202911377
jimeng,p04,p04_B.png,p04_D.png,B,D,0.4972706139087677
jimeng,p04,p04_C.png,p04_D.png,C,D,0.4858503043651581
jimeng,p05,p05_A.png,p05_B.png,A,B,0.4945099651813507
jimeng,p05,p05_A.png,p05_C.png,A,C,0.48632484674453735
jimeng,p05,p05_A.png,p05_D.png,A,D,0.5343178510665894
jimeng,p05,p05_B.png,p05_C.png,B,C,0.32846853137016296
jimeng,p05,p05_B.png,p05_D.png,B,D,0.5449334383010864
jimeng,p05,p05_C.png,p05_D.png,C,D,0.5154096484184265
jimeng,p06,p06_A.png,p06_B.png,A,B,0.6043520569801331
jimeng,p06,p06_A.png,p06_C.png,A,C,0.6630170345306396
jimeng,p06,p06_A.png,p06_D.png,A,D,0.6502783298492432
jimeng,p06,p06_B.png,p06_C.png,B,C,0.5984722375869751
jimeng,p06,p06_B.png,p06_D.png,B,D,0.624869704246521
jimeng,p06,p06_C.png,p06_D.png,C,D,0.670733630657196
jimeng,p07,p07_A.png,p07_B.png,A,B,0.563973605632782
jimeng,p07,p07_A.png,p07_C.png,A,C,0.568356990814209
jimeng,p07,p07_A.png,p07_D.png,A,D,0.5887314677238464
jimeng,p07,p07_B.png,p07_C.png,B,C,0.5242219567298889
jimeng,p07,p07_B.png,p07_D.png,B,D,0.6307324171066284
jimeng,p07,p07_C.png,p07_D.png,C,D,0.6319826245307922
jimeng,p08,p08_A.png,p08_B.png,A,B,0.5368437170982361
jimeng,p08,p08_A.png,p08_C.png,A,C,0.4692072868347168
jimeng,p08,p08_A.png,p08_D.png,A,D,0.637239933013916
jimeng,p08,p08_B.png,p08_C.png,B,C,0.5293195843696594
jimeng,p08,p08_B.png,p08_D.png,B,D,0.6780137419700623
jimeng,p08,p08_C.png,p08_D.png,C,D,0.6362372040748596
jimeng,p09,p09_A.png,p09_B.png,A,B,0.5422794222831726
jimeng,p09,p09_A.png,p09_C.png,A,C,0.6644725799560547
jimeng,p09,p09_A.png,p09_D.png,A,D,0.5760660767555237
jimeng,p09,p09_B.png,p09_C.png,B,C,0.5972180962562561
jimeng,p09,p09_B.png,p09_D.png,B,D,0.5397458076477051
jimeng,p09,p09_C.png,p09_D.png,C,D,0.5749050378799438
jimeng,p10,p10_A.png,p10_B.png,A,B,0.6631828546524048
jimeng,p10,p10_A.png,p10_C.png,A,C,0.6534324884414673
jimeng,p10,p10_A.png,p10_D.png,A,D,0.7355396747589111
jimeng,p10,p10_B.png,p10_C.png,B,C,0.6600263714790344
jimeng,p10,p10_B.png,p10_D.png,B,D,0.7802770733833313
jimeng,p10,p10_C.png,p10_D.png,C,D,0.777553141117096
jimeng,p11,p11_A.png,p11_B.png,A,B,0.5381230115890503
jimeng,p11,p11_A.png,p11_C.png,A,C,0.58735591173172
jimeng,p11,p11_A.png,p11_D.png,A,D,0.586329996585846
jimeng,p11,p11_B.png,p11_C.png,B,C,0.5393598079681396
jimeng,p11,p11_B.png,p11_D.png,B,D,0.5902727246284485
jimeng,p11,p11_C.png,p11_D.png,C,D,0.668394923210144
jimeng,p12,p12_A.png,p12_B.png,A,B,0.594980776309967
jimeng,p12,p12_A.png,p12_C.png,A,C,0.6533127427101135
jimeng,p12,p12_A.png,p12_D.png,A,D,0.6673493981361389
jimeng,p12,p12_B.png,p12_C.png,B,C,0.5608116388320923
jimeng,p12,p12_B.png,p12_D.png,B,D,0.6118160486221313
jimeng,p12,p12_C.png,p12_D.png,C,D,0.7104436159133911
jimeng,p13,p13_A.png,p13_B.png,A,B,0.4512961208820343
jimeng,p13,p13_A.png,p13_C.png,A,C,0.5135588049888611
jimeng,p13,p13_A.png,p13_D.png,A,D,0.6010777354240417
jimeng,p13,p13_B.png,p13_C.png,B,C,0.5120945572853088
jimeng,p13,p13_B.png,p13_D.png,B,D,0.6318336129188538
jimeng,p13,p13_C.png,p13_D.png,C,D,0.6400790214538574
jimeng,p14,p14_A.png,p14_B.png,A,B,0.481069415807724
jimeng,p14,p14_A.png,p14_C.png,A,C,0.5249940156936646
jimeng,p14,p14_A.png,p14_D.png,A,D,0.6588417887687683
jimeng,p14,p14_B.png,p14_C.png,B,C,0.4886668920516968
jimeng,p14,p14_B.png,p14_D.png,B,D,0.5677484273910522
jimeng,p14,p14_C.png,p14_D.png,C,D,0.6314283609390259
jimeng,p15,p15_A.png,p15_B.png,A,B,0.809316098690033
jimeng,p15,p15_A.png,p15_C.png,A,C,0.8533453941345215
jimeng,p15,p15_A.png,p15_D.png,A,D,0.803498387336731
jimeng,p15,p15_B.png,p15_C.png,B,C,0.7487035989761353
jimeng,p15,p15_B.png,p15_D.png,B,D,0.6909174919128418
jimeng,p15,p15_C.png,p15_D.png,C,D,0.6967014074325562
